,Время,Направление,Unnamed: 2,Рейс,Статус
163,Совершил посадку в 22:27,Совершил посадку в 22:27,,U6 322Уральские авиалинии,ПрилетелВыдача багажа: лента 10
164,22:25,Краснодар,,U6 210Уральские авиалинии,ПрилетелВыдача багажа: лента 9
165,Совершил посадку в 22:41,Совершил посадку в 22:41,,U6 210Уральские авиалинии,ПрилетелВыдача багажа: лента 9
166,22:30,Санкт-Петербург,,R3 468Якутия,ПрилетелВыдача багажа: лента 7
167,Совершил посадку в 22:23,Совершил посадку в 22:23,,R3 468Якутия,ПрилетелВыдача багажа: лента 7
168,22:40,Казань,,WZ 1070Red Wings,ПрилетелВыдача багажа: лента 9
169,Совершил посадку в 22:12,Совершил посадку в 22:12,,WZ 1070Red Wings,ПрилетелВыдача багажа: лента 9
170,22:40,Симферополь,,U6 528Уральские авиалинии,ПрилетелВыдача багажа: лента 8
171,Совершил посадку в 22:34,Совершил посадку в 22:34,,U6 528Уральские авиалинии,ПрилетелВыдача багажа: лента 8
172,23:40,Самара,,WZ 1034Red Wings,ПрилетелВыдача багажа: лента 8
173,Совершил посадку в 23:09,Совершил посадку в 23:09,,WZ 1034Red Wings,ПрилетелВыдача багажа: лента 8
