,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
679,Совершил посадку в 19:16,Совершил посадку в 19:16,,LO 677Lot,D,ПрилетелВыдача багажа: лента 7
680,19:35,Ташкент,,SU 1975Аэрофлот,D,ПрилетелВыдача багажа: лента 9
681,Совершил посадку в 18:55,Совершил посадку в 18:55,,SU 1975Аэрофлот,D,ПрилетелВыдача багажа: лента 9
682,19:35,Ростов-на-Дону,,N4 334Nordwind,D,ПрилетелВыдача багажа: лента 3
683,Совершил посадку в 19:12,Совершил посадку в 19:12,,N4 334Nordwind,D,ПрилетелВыдача багажа: лента 3
684,19:40,Уфа,,SU 1233Аэрофлот,B,ПрилетелВыдача багажа: лента 5
685,Совершил посадку в 19:02,Совершил посадку в 19:02,,SU 1233Аэрофлот,B,ПрилетелВыдача багажа: лента 5
686,19:50,Волгоград,,SU 1183Аэрофлот,B,ПрилетелВыдача багажа: лента 4
687,Совершил посадку в 19:08,Совершил посадку в 19:08,,SU 1183Аэрофлот,B,ПрилетелВыдача багажа: лента 4
688,19:50,Волгоград,,JU 7019Air Serbia,B,ПрилетелВыдача багажа: лента 4
689,Совершил посадку в 19:08,Совершил посадку в 19:08,,JU 7019Air Serbia,B,ПрилетелВыдача багажа: лента 4
690,19:55,Симферополь,,SU 1629Аэрофлот,B,ПрилетелВыдача багажа: лента 6
691,Совершил посадку в 19:25,Совершил посадку в 19:25,,SU 1629Аэрофлот,B,ПрилетелВыдача багажа: лента 6
692,20:00,Санкт-Петербург,,JU 7031Air Serbia,B,ПрилетелВыдача багажа: лента 3
693,Совершил посадку в 19:53,Совершил посадку в 19:53,,JU 7031Air Serbia,B,ПрилетелВыдача багажа: лента 3
694,20:00,Санкт-Петербург,,SU 39Аэрофлот,B,ПрилетелВыдача багажа: лента 3
695,Совершил посадку в 19:53,Совершил посадку в 19:53,,SU 39Аэрофлот,B,ПрилетелВыдача багажа: лента 3
696,20:05,Челябинск,,"FV 6260, SU 6260Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
697,Совершил посадку в 19:22,Совершил посадку в 19:22,,"FV 6260, SU 6260Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
698,20:05,Сочи,,FV 5512Россия,D,ПрилетелВыдача багажа: лента 1
699,Совершил посадку в 19:46,Совершил посадку в 19:46,,FV 5512Россия,D,ПрилетелВыдача багажа: лента 1
700,20:10,Сочи,,SU 1125Аэрофлот,B,ПрилетелВыдача багажа: лента 4
701,Совершил посадку в 19:43,Совершил посадку в 19:43,,SU 1125Аэрофлот,B,ПрилетелВыдача багажа: лента 4
702,20:10,Апатиты,,D2 157Северсталь,D,ПрилетелВыдача багажа: лента 2
703,Совершил посадку в 19:55,Совершил посадку в 19:55,,D2 157Северсталь,D,ПрилетелВыдача багажа: лента 2
704,20:25,Казань,,SU 1193Аэрофлот,B,ПрилетелВыдача багажа: лента 5
705,Совершил посадку в 19:48,Совершил посадку в 19:48,,SU 1193Аэрофлот,B,ПрилетелВыдача багажа: лента 5
706,20:25,Краснодар,,SU 1105Аэрофлот,B,ПрилетелВыдача багажа: лента 2
707,Совершил посадку в 19:58,Совершил посадку в 19:58,,SU 1105Аэрофлот,B,ПрилетелВыдача багажа: лента 2
708,20:30,Воронеж,,"FV 6470, SU 6470Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
709,Совершил посадку в 20:03,Совершил посадку в 20:03,,"FV 6470, SU 6470Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
710,20:30,Астрахань,,"FV 6438, SU 6438Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
711,Совершил посадку в 20:05,Совершил посадку в 20:05,,"FV 6438, SU 6438Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
712,20:35,Ростов-на-Дону,,SU 1155Аэрофлот,B,ПрилетелВыдача багажа: лента 4
713,Совершил посадку в 20:00,Совершил посадку в 20:00,,SU 1155Аэрофлот,B,ПрилетелВыдача багажа: лента 4
714,20:40,Анапа,,SU 1143Аэрофлот,B,ПрилетелВыдача багажа: лента 6
715,Совершил посадку в 20:09,Совершил посадку в 20:09,,SU 1143Аэрофлот,B,ПрилетелВыдача багажа: лента 6
716,20:40,Иркутск,,SU 1445Аэрофлот,B,Нет актуальной информации о статусе
717,,,,SU 1445Аэрофлот,B,Нет актуальной информации о статусе
