City,Airport,IATA,ICAO,Date,Arrivals,Departures
Грозный,Грозный,GRV,URMG,2020-07-28,4,5
Грозный,Грозный,GRV,URMG,2020-07-27,4,5
Грозный,Грозный,GRV,URMG,2020-07-26,4,5
Грозный,Грозный,GRV,URMG,2020-07-25,4,4
Грозный,Грозный,GRV,URMG,2020-07-24,4,4
Грозный,Грозный,GRV,URMG,2020-07-23,4,4
Грозный,Грозный,GRV,URMG,2020-07-22,4,4
Грозный,Грозный,GRV,URMG,2020-07-21,4,4
Грозный,Грозный,GRV,URMG,2020-07-20,4,4
Грозный,Грозный,GRV,URMG,2020-07-19,4,4
Грозный,Грозный,GRV,URMG,2020-07-18,4,4
Грозный,Грозный,GRV,URMG,2020-07-17,4,4
Грозный,Грозный,GRV,URMG,2020-07-16,4,4
Грозный,Грозный,GRV,URMG,2020-07-15,4,4
Грозный,Грозный,GRV,URMG,2020-07-14,4,4
Грозный,Грозный,GRV,URMG,2020-07-13,4,4
Грозный,Грозный,GRV,URMG,2020-07-12,4,4
Грозный,Грозный,GRV,URMG,2020-07-11,4,4
Грозный,Грозный,GRV,URMG,2020-07-10,3,3
Грозный,Грозный,GRV,URMG,2020-07-09,3,3
Грозный,Грозный,GRV,URMG,2020-07-08,3,3
Грозный,Грозный,GRV,URMG,2020-07-07,3,3
Грозный,Грозный,GRV,URMG,2020-07-06,3,3
Грозный,Грозный,GRV,URMG,2020-07-05,3,3
Грозный,Грозный,GRV,URMG,2020-07-04,3,3
Грозный,Грозный,GRV,URMG,2020-07-03,3,3
Грозный,Грозный,GRV,URMG,2020-07-02,3,3
Грозный,Грозный,GRV,URMG,2020-07-01,3,2
Грозный,Грозный,GRV,URMG,2020-06-30,2,2
Грозный,Грозный,GRV,URMG,2020-06-29,2,2
Грозный,Грозный,GRV,URMG,2020-06-28,2,2
Грозный,Грозный,GRV,URMG,2020-06-27,1,2
Грозный,Грозный,GRV,URMG,2020-06-26,1,1
Грозный,Грозный,GRV,URMG,2020-06-25,1,1
Грозный,Грозный,GRV,URMG,2020-06-24,1,1
Грозный,Грозный,GRV,URMG,2020-06-23,1,2
Грозный,Грозный,GRV,URMG,2020-06-22,2,1
Грозный,Грозный,GRV,URMG,2020-06-21,2,1
Грозный,Грозный,GRV,URMG,2020-06-20,2,2
Грозный,Грозный,GRV,URMG,2020-06-19,2,2
Грозный,Грозный,GRV,URMG,2020-06-18,2,2
Грозный,Грозный,GRV,URMG,2020-06-17,1,1
Грозный,Грозный,GRV,URMG,2020-06-16,2,2
Грозный,Грозный,GRV,URMG,2020-06-15,1,2
Грозный,Грозный,GRV,URMG,2020-06-14,1,2
Грозный,Грозный,GRV,URMG,2020-06-13,1,1
Грозный,Грозный,GRV,URMG,2020-06-12,1,1
Грозный,Грозный,GRV,URMG,2020-06-10,1,1
Грозный,Грозный,GRV,URMG,2020-06-09,1,1
Грозный,Грозный,GRV,URMG,2020-06-08,1,1
Грозный,Грозный,GRV,URMG,2020-06-07,1,1
Грозный,Грозный,GRV,URMG,2020-06-06,1,1
Грозный,Грозный,GRV,URMG,2020-06-05,1,1
Грозный,Грозный,GRV,URMG,2020-06-02,1,1
Грозный,Грозный,GRV,URMG,2020-06-01,1,1
Грозный,Грозный,GRV,URMG,2020-05-31,1,1
Грозный,Грозный,GRV,URMG,2020-05-30,1,1
Грозный,Грозный,GRV,URMG,2020-05-29,1,1
Грозный,Грозный,GRV,URMG,2020-05-28,1,0
Грозный,Грозный,GRV,URMG,2020-05-27,1,1
Грозный,Грозный,GRV,URMG,2020-05-26,1,1
Грозный,Грозный,GRV,URMG,2020-05-25,1,1
Грозный,Грозный,GRV,URMG,2020-05-23,1,1
Грозный,Грозный,GRV,URMG,2020-05-22,1,1
Грозный,Грозный,GRV,URMG,2020-05-20,1,1
Грозный,Грозный,GRV,URMG,2020-05-19,1,1
Грозный,Грозный,GRV,URMG,2020-05-18,1,1
Грозный,Грозный,GRV,URMG,2020-05-16,1,1
Грозный,Грозный,GRV,URMG,2020-05-15,1,1
Грозный,Грозный,GRV,URMG,2020-05-12,1,1
Грозный,Грозный,GRV,URMG,2020-05-08,1,1
Грозный,Грозный,GRV,URMG,2020-05-05,1,1
Грозный,Грозный,GRV,URMG,2020-05-01,1,1
Грозный,Грозный,GRV,URMG,2020-04-29,1,1
Грозный,Грозный,GRV,URMG,2020-04-27,1,1
Грозный,Грозный,GRV,URMG,2020-04-25,1,1
Грозный,Грозный,GRV,URMG,2020-04-21,1,1
Грозный,Грозный,GRV,URMG,2020-04-18,1,1
Грозный,Грозный,GRV,URMG,2020-04-15,1,1
Грозный,Грозный,GRV,URMG,2020-04-14,1,2
Грозный,Грозный,GRV,URMG,2020-04-08,2,2
Грозный,Грозный,GRV,URMG,2020-04-03,2,2
Грозный,Грозный,GRV,URMG,2020-04-02,2,2
Грозный,Грозный,GRV,URMG,2020-04-01,2,2
Грозный,Грозный,GRV,URMG,2020-03-31,2,2
Грозный,Грозный,GRV,URMG,2020-03-30,3,3
Грозный,Грозный,GRV,URMG,2020-03-29,3,3
Грозный,Грозный,GRV,URMG,2020-03-28,3,3
Грозный,Грозный,GRV,URMG,2020-03-27,4,4
Грозный,Грозный,GRV,URMG,2020-03-26,4,4
Грозный,Грозный,GRV,URMG,2020-03-25,5,5
Грозный,Грозный,GRV,URMG,2020-03-24,5,5
Грозный,Грозный,GRV,URMG,2020-03-23,5,5
Грозный,Грозный,GRV,URMG,2020-03-22,5,5
Грозный,Грозный,GRV,URMG,2020-03-21,5,5
Грозный,Грозный,GRV,URMG,2020-03-20,5,5
Грозный,Грозный,GRV,URMG,2020-03-19,5,5
Грозный,Грозный,GRV,URMG,2020-03-18,5,5
Грозный,Грозный,GRV,URMG,2020-03-17,5,5
Грозный,Грозный,GRV,URMG,2020-03-16,5,5
Грозный,Грозный,GRV,URMG,2020-03-15,5,5
Грозный,Грозный,GRV,URMG,2020-03-14,5,5
Грозный,Грозный,GRV,URMG,2020-03-13,5,5
Грозный,Грозный,GRV,URMG,2020-03-12,5,5
Грозный,Грозный,GRV,URMG,2020-03-11,5,5
Грозный,Грозный,GRV,URMG,2020-03-10,5,5
Грозный,Грозный,GRV,URMG,2020-03-09,5,5
Грозный,Грозный,GRV,URMG,2020-03-08,5,5
Грозный,Грозный,GRV,URMG,2020-03-07,5,5
Грозный,Грозный,GRV,URMG,2020-03-06,5,5
Грозный,Грозный,GRV,URMG,2020-03-05,5,5
Грозный,Грозный,GRV,URMG,2020-03-04,5,4
Грозный,Грозный,GRV,URMG,2020-03-03,5,4
Грозный,Грозный,GRV,URMG,2020-03-02,4,4
Грозный,Грозный,GRV,URMG,2020-03-01,4,4
Грозный,Грозный,GRV,URMG,2020-02-29,5,4
Грозный,Грозный,GRV,URMG,2020-02-28,5,4
Грозный,Грозный,GRV,URMG,2020-02-27,5,4
Грозный,Грозный,GRV,URMG,2020-02-26,5,4
Грозный,Грозный,GRV,URMG,2020-02-25,5,4
Грозный,Грозный,GRV,URMG,2020-02-24,5,4
Грозный,Грозный,GRV,URMG,2020-02-23,5,4
Грозный,Грозный,GRV,URMG,2020-02-22,5,4
Грозный,Грозный,GRV,URMG,2020-02-21,5,4
Грозный,Грозный,GRV,URMG,2020-02-20,4,4
Грозный,Грозный,GRV,URMG,2020-02-19,5,4
Грозный,Грозный,GRV,URMG,2020-02-18,5,4
Грозный,Грозный,GRV,URMG,2020-02-17,5,4
Грозный,Грозный,GRV,URMG,2020-02-16,5,5
Грозный,Грозный,GRV,URMG,2020-02-15,5,5
Грозный,Грозный,GRV,URMG,2020-02-14,5,5
Грозный,Грозный,GRV,URMG,2020-02-13,5,5
Грозный,Грозный,GRV,URMG,2020-02-12,5,5
Грозный,Грозный,GRV,URMG,2020-02-11,5,5
Грозный,Грозный,GRV,URMG,2020-02-10,5,5
Грозный,Грозный,GRV,URMG,2020-02-09,4,5
Грозный,Грозный,GRV,URMG,2020-02-08,5,5
Грозный,Грозный,GRV,URMG,2020-02-07,4,4
Грозный,Грозный,GRV,URMG,2020-02-06,4,4
Грозный,Грозный,GRV,URMG,2020-02-05,4,4
Грозный,Грозный,GRV,URMG,2020-02-04,4,4
Грозный,Грозный,GRV,URMG,2020-02-03,5,4
Грозный,Грозный,GRV,URMG,2020-02-02,5,5
Грозный,Грозный,GRV,URMG,2020-02-01,5,5
Грозный,Грозный,GRV,URMG,2020-01-31,5,5
Грозный,Грозный,GRV,URMG,2020-01-30,5,5
Грозный,Грозный,GRV,URMG,2020-01-29,5,5
Грозный,Грозный,GRV,URMG,2020-01-28,5,5
Грозный,Грозный,GRV,URMG,2020-01-27,5,5
Грозный,Грозный,GRV,URMG,2020-01-26,5,5
Грозный,Грозный,GRV,URMG,2020-01-25,5,5
